"Class","Class_fullname","Approach","Response_model_form","Response_model_index","Response_model_goal","Response_model_detail","Details","Stringency","Indicator_Type","Indicator","Threshold_value","Flag"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.76,"Additive model, 50% probability of attaining ASCI_H score above 0.76.","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","AFDM",47.6,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.6,"Additive model, 50% probability of attaining ASCI_H score above 0.6.","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","AFDM",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.96,"Additive model, 50% probability of attaining CSCI score above 0.96.","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","AFDM",1.6,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.75,"Additive model, 50% probability of attaining CSCI score above 0.75.","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","AFDM",56.1,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.64,"Additive model, 50% probability of attaining CSCI score above 0.64.","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","AFDM",183.4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.85,"Additive model, 50% probability of attaining ASCI_D score above 0.85.","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","AFDM",17.6,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","AFDM",95.3,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","AFDM",17.6,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.67,"Additive model, 50% probability of attaining ASCI_H score above 0.67.","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","AFDM",191.4,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1.1,"Additive model, 50% probability of attaining CSCI score above 1.1.","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1,"Additive model, 50% probability of attaining CSCI score above 1.","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",0.81,"Additive model, 50% probability of attaining CSCI score above 0.81.","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","AFDM",30.8,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","AFDM",40.4,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","AFDM",95.3,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","AFDM",3.6,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.79,"Additive model, 50% probability of attaining ASCI_H score above 0.79.","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","AFDM",35.6,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.64,"Additive model, 50% probability of attaining ASCI_H score above 0.64.","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","AFDM",293.5,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.99,"Additive model, 50% probability of attaining CSCI score above 0.99.","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","AFDM",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.78,"Additive model, 50% probability of attaining CSCI score above 0.78.","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","AFDM",41.2,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.66,"Additive model, 50% probability of attaining CSCI score above 0.66.","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","AFDM",154.2,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","AFDM",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","CSCI",0.53,"Additive model, 50% probability of attaining CSCI score above 0.53.","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","AFDM",335.1,""
"CC","Constructed channel","Response","SCAM","CSCI",0.45,"Additive model, 50% probability of attaining CSCI score above 0.45.","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","AFDM",,"No threshold identified"
"CC","Constructed channel","Response","SCAM","CSCI",0.37,"Additive model, 50% probability of attaining CSCI score above 0.37.","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","AFDM",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.94,"Additive model, 50% probability of attaining ASCI_D score above 0.94.","Additive model, 50% probability of attaining ASCI_D score above 0.94.","High","Eutrophication","% cover",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.86,"Additive model, 50% probability of attaining ASCI_D score above 0.86.","Additive model, 50% probability of attaining ASCI_D score above 0.86.","Intermediate","Eutrophication","% cover",13,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_D",0.75,"Additive model, 50% probability of attaining ASCI_D score above 0.75.","Additive model, 50% probability of attaining ASCI_D score above 0.75.","Low","Eutrophication","% cover",66,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","% cover",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","% cover",27,""
"Wadeable streams","Wadeable streams","Response","SCAM","ASCI_H",0.75,"Additive model, 50% probability of attaining ASCI_H score above 0.75.","Additive model, 50% probability of attaining ASCI_H score above 0.75.","Low","Eutrophication","% cover",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.92,"Additive model, 50% probability of attaining CSCI score above 0.92.","Additive model, 50% probability of attaining CSCI score above 0.92.","High","Eutrophication","% cover",,"No threshold identified"
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.79,"Additive model, 50% probability of attaining CSCI score above 0.79.","Additive model, 50% probability of attaining CSCI score above 0.79.","Intermediate","Eutrophication","% cover",45,""
"Wadeable streams","Wadeable streams","Response","SCAM","CSCI",0.63,"Additive model, 50% probability of attaining CSCI score above 0.63.","Additive model, 50% probability of attaining CSCI score above 0.63.","Low","Eutrophication","% cover",87,""
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.99,"Additive model, 50% probability of attaining ASCI_D score above 0.99.","Additive model, 50% probability of attaining ASCI_D score above 0.99.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","Intermediate","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_D",0.79,"Additive model, 50% probability of attaining ASCI_D score above 0.79.","Additive model, 50% probability of attaining ASCI_D score above 0.79.","Low","Eutrophication","% cover",47,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.9,"Additive model, 50% probability of attaining ASCI_H score above 0.9.","Additive model, 50% probability of attaining ASCI_H score above 0.9.","Intermediate","Eutrophication","% cover",1,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","ASCI_H",0.81,"Additive model, 50% probability of attaining ASCI_H score above 0.81.","Additive model, 50% probability of attaining ASCI_H score above 0.81.","Low","Eutrophication","% cover",45,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","% cover",67,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.61,"Additive model, 50% probability of attaining CSCI score above 0.61.","Additive model, 50% probability of attaining CSCI score above 0.61.","Intermediate","Eutrophication","% cover",88,""
"RFI-N","Intermittent northern California","Response","SCAM","CSCI",0.44,"Additive model, 50% probability of attaining CSCI score above 0.44.","Additive model, 50% probability of attaining CSCI score above 0.44.","Low","Eutrophication","% cover",99,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.91,"Additive model, 50% probability of attaining ASCI_D score above 0.91.","Additive model, 50% probability of attaining ASCI_D score above 0.91.","High","Eutrophication","% cover",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.8,"Additive model, 50% probability of attaining ASCI_D score above 0.8.","Additive model, 50% probability of attaining ASCI_D score above 0.8.","Intermediate","Eutrophication","% cover",42,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_D",0.66,"Additive model, 50% probability of attaining ASCI_D score above 0.66.","Additive model, 50% probability of attaining ASCI_D score above 0.66.","Low","Eutrophication","% cover",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.91,"Additive model, 50% probability of attaining ASCI_H score above 0.91.","Additive model, 50% probability of attaining ASCI_H score above 0.91.","High","Eutrophication","% cover",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Intermediate","Eutrophication","% cover",53,""
"RFI-S","Intermittent southern California","Response","SCAM","ASCI_H",0.65,"Additive model, 50% probability of attaining ASCI_H score above 0.65.","Additive model, 50% probability of attaining ASCI_H score above 0.65.","Low","Eutrophication","% cover",,"No threshold identified"
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.89,"Additive model, 50% probability of attaining CSCI score above 0.89.","Additive model, 50% probability of attaining CSCI score above 0.89.","High","Eutrophication","% cover",15,""
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.82,"Additive model, 50% probability of attaining CSCI score above 0.82.","Additive model, 50% probability of attaining CSCI score above 0.82.","Intermediate","Eutrophication","% cover",36,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"RFI-S","Intermittent southern California","Response","SCAM","CSCI",0.71,"Additive model, 50% probability of attaining CSCI score above 0.71.","Additive model, 50% probability of attaining CSCI score above 0.71.","Low","Eutrophication","% cover",76,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.13,"Additive model, 50% probability of attaining ASCI_D score above 1.13.","Additive model, 50% probability of attaining ASCI_D score above 1.13.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",1.02,"Additive model, 50% probability of attaining ASCI_D score above 1.02.","Additive model, 50% probability of attaining ASCI_D score above 1.02.","Intermediate","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_D",0.92,"Additive model, 50% probability of attaining ASCI_D score above 0.92.","Additive model, 50% probability of attaining ASCI_D score above 0.92.","Low","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",1.05,"Additive model, 50% probability of attaining ASCI_H score above 1.05.","Additive model, 50% probability of attaining ASCI_H score above 1.05.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","Intermediate","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","ASCI_H",0.8,"Additive model, 50% probability of attaining ASCI_H score above 0.8.","Additive model, 50% probability of attaining ASCI_H score above 0.8.","Low","Eutrophication","% cover",53,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.85,"Additive model, 50% probability of attaining CSCI score above 0.85.","Additive model, 50% probability of attaining CSCI score above 0.85.","High","Eutrophication","% cover",29,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","% cover",82,""
"CVF","Central Valley Floor","Response","SCAM","CSCI",0.52,"Additive model, 50% probability of attaining CSCI score above 0.52.","Additive model, 50% probability of attaining CSCI score above 0.52.","Low","Eutrophication","% cover",94,""
"HB","Hard bottom","Response","SCAM","ASCI_D",1.05,"Additive model, 50% probability of attaining ASCI_D score above 1.05.","Additive model, 50% probability of attaining ASCI_D score above 1.05.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.88,"Additive model, 50% probability of attaining ASCI_D score above 0.88.","Additive model, 50% probability of attaining ASCI_D score above 0.88.","Intermediate","Eutrophication","% cover",4,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_D",0.74,"Additive model, 50% probability of attaining ASCI_D score above 0.74.","Additive model, 50% probability of attaining ASCI_D score above 0.74.","Low","Eutrophication","% cover",70,""
"HB","Hard bottom","Response","SCAM","ASCI_H",1.02,"Additive model, 50% probability of attaining ASCI_H score above 1.02.","Additive model, 50% probability of attaining ASCI_H score above 1.02.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.87,"Additive model, 50% probability of attaining ASCI_H score above 0.87.","Additive model, 50% probability of attaining ASCI_H score above 0.87.","Intermediate","Eutrophication","% cover",23,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"HB","Hard bottom","Response","SCAM","ASCI_H",0.74,"Additive model, 50% probability of attaining ASCI_H score above 0.74.","Additive model, 50% probability of attaining ASCI_H score above 0.74.","Low","Eutrophication","% cover",,"No threshold identified"
"HB","Hard bottom","Response","SCAM","CSCI",0.74,"Additive model, 50% probability of attaining CSCI score above 0.74.","Additive model, 50% probability of attaining CSCI score above 0.74.","High","Eutrophication","% cover",67,""
"HB","Hard bottom","Response","SCAM","CSCI",0.67,"Additive model, 50% probability of attaining CSCI score above 0.67.","Additive model, 50% probability of attaining CSCI score above 0.67.","Intermediate","Eutrophication","% cover",82,""
"HB","Hard bottom","Response","SCAM","CSCI",0.55,"Additive model, 50% probability of attaining CSCI score above 0.55.","Additive model, 50% probability of attaining CSCI score above 0.55.","Low","Eutrophication","% cover",92,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.93,"Additive model, 50% probability of attaining ASCI_D score above 0.93.","Additive model, 50% probability of attaining ASCI_D score above 0.93.","High","Eutrophication","% cover",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","% cover",56,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_D",0.64,"Additive model, 50% probability of attaining ASCI_D score above 0.64.","Additive model, 50% probability of attaining ASCI_D score above 0.64.","Low","Eutrophication","% cover",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.88,"Additive model, 50% probability of attaining ASCI_H score above 0.88.","Additive model, 50% probability of attaining ASCI_H score above 0.88.","High","Eutrophication","% cover",18,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.76,"Additive model, 50% probability of attaining ASCI_H score above 0.76.","Additive model, 50% probability of attaining ASCI_H score above 0.76.","Intermediate","Eutrophication","% cover",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","ASCI_H",0.6,"Additive model, 50% probability of attaining ASCI_H score above 0.6.","Additive model, 50% probability of attaining ASCI_H score above 0.6.","Low","Eutrophication","% cover",,"No threshold identified"
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.96,"Additive model, 50% probability of attaining CSCI score above 0.96.","Additive model, 50% probability of attaining CSCI score above 0.96.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.75,"Additive model, 50% probability of attaining CSCI score above 0.75.","Additive model, 50% probability of attaining CSCI score above 0.75.","Intermediate","Eutrophication","% cover",63,""
"SB2","Soft bottom engineered channel, two hardened sides","Response","SCAM","CSCI",0.64,"Additive model, 50% probability of attaining CSCI score above 0.64.","Additive model, 50% probability of attaining CSCI score above 0.64.","Low","Eutrophication","% cover",86,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.85,"Additive model, 50% probability of attaining ASCI_D score above 0.85.","Additive model, 50% probability of attaining ASCI_D score above 0.85.","Intermediate","Eutrophication","% cover",18,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","% cover",99,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.97,"Additive model, 50% probability of attaining ASCI_H score above 0.97.","Additive model, 50% probability of attaining ASCI_H score above 0.97.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.86,"Additive model, 50% probability of attaining ASCI_H score above 0.86.","Additive model, 50% probability of attaining ASCI_H score above 0.86.","Intermediate","Eutrophication","% cover",27,""
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","ASCI_H",0.67,"Additive model, 50% probability of attaining ASCI_H score above 0.67.","Additive model, 50% probability of attaining ASCI_H score above 0.67.","Low","Eutrophication","% cover",,"No threshold identified"
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1.1,"Additive model, 50% probability of attaining CSCI score above 1.1.","Additive model, 50% probability of attaining CSCI score above 1.1.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",1,"Additive model, 50% probability of attaining CSCI score above 1.","Additive model, 50% probability of attaining CSCI score above 1.","Intermediate","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB1","Soft bottom engineered channel, one hardened side","Response","SCAM","CSCI",0.81,"Additive model, 50% probability of attaining CSCI score above 0.81.","Additive model, 50% probability of attaining CSCI score above 0.81.","Low","Eutrophication","% cover",39,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",1.01,"Additive model, 50% probability of attaining ASCI_D score above 1.01.","Additive model, 50% probability of attaining ASCI_D score above 1.01.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.77,"Additive model, 50% probability of attaining ASCI_D score above 0.77.","Additive model, 50% probability of attaining ASCI_D score above 0.77.","Intermediate","Eutrophication","% cover",56,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_D",0.68,"Additive model, 50% probability of attaining ASCI_D score above 0.68.","Additive model, 50% probability of attaining ASCI_D score above 0.68.","Low","Eutrophication","% cover",99,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.94,"Additive model, 50% probability of attaining ASCI_H score above 0.94.","Additive model, 50% probability of attaining ASCI_H score above 0.94.","High","Eutrophication","% cover",,"No threshold identified"
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.79,"Additive model, 50% probability of attaining ASCI_H score above 0.79.","Additive model, 50% probability of attaining ASCI_H score above 0.79.","Intermediate","Eutrophication","% cover",66,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","ASCI_H",0.64,"Additive model, 50% probability of attaining ASCI_H score above 0.64.","Additive model, 50% probability of attaining ASCI_H score above 0.64.","Low","Eutrophication","% cover",,"No threshold identified"
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.99,"Additive model, 50% probability of attaining CSCI score above 0.99.","Additive model, 50% probability of attaining CSCI score above 0.99.","High","Eutrophication","% cover",,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.78,"Additive model, 50% probability of attaining CSCI score above 0.78.","Additive model, 50% probability of attaining CSCI score above 0.78.","Intermediate","Eutrophication","% cover",48,""
"SB0","Soft bottom engineered channel, no hardened sides","Response","SCAM","CSCI",0.66,"Additive model, 50% probability of attaining CSCI score above 0.66.","Additive model, 50% probability of attaining CSCI score above 0.66.","Low","Eutrophication","% cover",84,"Eutrophication threshold is set for a biointegrity goal that is above reference."
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","High","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Intermediate","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_D",,"Additive model, 50% probability of attaining ASCI_D score above NA.","Additive model, 50% probability of attaining ASCI_D score above NA.","Low","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","High","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Intermediate","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","ASCI_H",,"Additive model, 50% probability of attaining ASCI_H score above NA.","Additive model, 50% probability of attaining ASCI_H score above NA.","Low","Eutrophication","% cover",,"Insufficient data"
"CC","Constructed channel","Response","SCAM","CSCI",0.53,"Additive model, 50% probability of attaining CSCI score above 0.53.","Additive model, 50% probability of attaining CSCI score above 0.53.","High","Eutrophication","% cover",94,""
"CC","Constructed channel","Response","SCAM","CSCI",0.45,"Additive model, 50% probability of attaining CSCI score above 0.45.","Additive model, 50% probability of attaining CSCI score above 0.45.","Intermediate","Eutrophication","% cover",98,""
"CC","Constructed channel","Response","SCAM","CSCI",0.37,"Additive model, 50% probability of attaining CSCI score above 0.37.","Additive model, 50% probability of attaining CSCI score above 0.37.","Low","Eutrophication","% cover",,"No threshold identified"
